question,database,output,type,cypher,explanation,syntax_error,timeout,returns_results,no_cypher
Who directed movies with less than 100 votes?,movies,"<explanation>
This query starts with finding all movies with less than 100 votes, then matching the directors of those movies and returning the names of the directors.

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigning them to the variable 'm'.
2. **WHERE m.votes < 100**: This line filters the movies, keeping only those where the 'votes' property is less than 100.
3. **MATCH (p:Person)-[:DIRECTED]->(m)**: This line looks for relationships of type 'DIRECTED' starting from a node with the label 'Person' and ending at the previously filtered movies ('m'). The person nodes are assigned to the variable 'p'.
4. **RETURN DISTINCT p.name**: Finally, this line returns the distinct names of the directors ('p.name') to avoid duplicates.

```cypher
MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name","This query starts with finding all movies with less than 100 votes, then matching the directors of those movies and returning the names of the directors.

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigning them to the variable 'm'.
2. **WHERE m.votes < 100**: This line filters the movies, keeping only those where the 'votes' property is less than 100.
3. **MATCH (p:Person)-[:DIRECTED]->(m)**: This line looks for relationships of type 'DIRECTED' starting from a node with the label 'Person' and ending at the previously filtered movies ('m'). The person nodes are assigned to the variable 'p'.
4. **RETURN DISTINCT p.name**: Finally, this line returns the distinct names of the directors ('p.name') to avoid duplicates.

```cypher
MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```",False,False,True,False
What are the release years of movies written by Nancy Meyers?,movies,"<explanation>
1. We need to find movies that are related to a person with the name 'Nancy Meyers' by the `:WROTE` relationship.
2. Then we need to return the `released` property of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released
```
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released
```",Simple Retrieval Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released","1. We need to find movies that are related to a person with the name 'Nancy Meyers' by the `:WROTE` relationship.
2. Then we need to return the `released` property of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released
```",False,False,True,False
Which people acted in movies with more than 1000 votes?,movies,"<explanation>
This query starts by matching all ACTED_IN relationships. It then filters these relationships to only include those where the movie connected to the relationship has more than 1000 votes. Finally, it returns the names of all people connected to the filtered relationships.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.votes > 1000
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.votes > 1000
RETURN DISTINCT p.name","This query starts by matching all ACTED_IN relationships. It then filters these relationships to only include those where the movie connected to the relationship has more than 1000 votes. Finally, it returns the names of all people connected to the filtered relationships.",False,False,True,False
List the first 3 people born between 1950 and 1960.,movies,"<explanation>
This query looks for `Person` nodes with the `born` property between 1950 and 1960, orders them by `born` property in ascending order and limits the result to the first 3 nodes.
</explanation>
```cypher
MATCH (p:Person)
WHERE 1950 <= p.born <= 1960
RETURN p.name
ORDER BY p.born
LIMIT 3
```",Simple Retrieval Queries,"MATCH (p:Person)
WHERE 1950 <= p.born <= 1960
RETURN p.name
ORDER BY p.born
LIMIT 3","This query looks for `Person` nodes with the `born` property between 1950 and 1960, orders them by `born` property in ascending order and limits the result to the first 3 nodes.",False,False,True,False
Who produced movies released after 2005?,movies,"<explanation>
1. **Start with the Movie nodes:** Match all movies (m:Movie).
2. **Filter by release year:** Use a WHERE clause to keep only movies released after 2005 (m.released > 2005).
3. **Traverse the PRODUCED relationship:** Match the persons (p:Person) who produced those movies (p)-[:PRODUCED]->(m).
4. **Return the names:** Return the distinct names of the persons (DISTINCT p.name).
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN DISTINCT p.name","1. **Start with the Movie nodes:** Match all movies (m:Movie).
2. **Filter by release year:** Use a WHERE clause to keep only movies released after 2005 (m.released > 2005).
3. **Traverse the PRODUCED relationship:** Match the persons (p:Person) who produced those movies (p)-[:PRODUCED]->(m).
4. **Return the names:** Return the distinct names of the persons (DISTINCT p.name).",False,False,True,False
"What are the titles of movies with taglines containing the word ""end""?",movies,"<explanation>
This query looks for movies with the word ""end"" in the tagline. 

1. **MATCH (m:Movie)** - We start by looking at all nodes with the label ""Movie"".
2. **WHERE m.tagline CONTAINS 'end'** - We then filter down to only movies where the tagline property contains ""end"".
3. **RETURN m.title** - Finally, for all movies matching our criteria, we return the title.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN m.title","This query looks for movies with the word ""end"" in the tagline. 

1. **MATCH (m:Movie)** - We start by looking at all nodes with the label ""Movie"".
2. **WHERE m.tagline CONTAINS 'end'** - We then filter down to only movies where the tagline property contains ""end"".
3. **RETURN m.title** - Finally, for all movies matching our criteria, we return the title.",False,False,True,False
Which people acted in movies directed by people born before 1950?,movies,"<explanation>
This query identifies all people who acted in movies directed by individuals born before 1950. 

1. **MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)**: We start by matching two patterns: 
    - People who acted in movies.
    - Directors who directed those movies.
2. **WHERE director.born < 1950**: This filters for directors born before 1950.
3. **RETURN DISTINCT person.name**: Finally, we return the names of the actors, ensuring distinct results to avoid duplicates. 

</explanation>
```cypher
MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)
WHERE director.born < 1950
RETURN DISTINCT person.name
```",Simple Retrieval Queries,"MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)
WHERE director.born < 1950
RETURN DISTINCT person.name","This query identifies all people who acted in movies directed by individuals born before 1950. 

1. **MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)**: We start by matching two patterns: 
    - People who acted in movies.
    - Directors who directed those movies.
2. **WHERE director.born < 1950**: This filters for directors born before 1950.
3. **RETURN DISTINCT person.name**: Finally, we return the names of the actors, ensuring distinct results to avoid duplicates.",False,False,True,False
"What is the average rating for the movie ""The Matrix Revolutions""?",movies,"<explanation>
1. **Match the movie with the title ""The Matrix Revolutions"".** 
2. **Match the ""REVIEWED"" relationships connected to the movie.**
3. **Calculate the average rating using the `avg` function on the `rating` property of the `REVIEWED` relationship.**
4. **Return the average rating.**
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (:Person)-[r:REVIEWED]->(m)
RETURN avg(r.rating) AS average_rating
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (:Person)-[r:REVIEWED]->(m)
RETURN avg(r.rating) AS average_rating","1. **Match the movie with the title ""The Matrix Revolutions"".** 
2. **Match the ""REVIEWED"" relationships connected to the movie.**
3. **Calculate the average rating using the `avg` function on the `rating` property of the `REVIEWED` relationship.**
4. **Return the average rating.**",False,False,True,False
"List the first 3 people who reviewed movies with the summary ""A solid romp"".",movies,"<explanation>
This query first finds all the movies with the review summary ""A solid romp"". Then, it finds all the people who reviewed those movies. Finally, it returns the first three distinct reviewers.

1. **Find movies with the specific review summary:**
   - `MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)`: This matches all movies (`m`) that have a `REVIEWED` relationship (`r`) with a person (`p`).
   - `WHERE r.summary = ""A solid romp""`: This filters for movies where the review summary is ""A solid romp"".

2. **Find the reviewers:**
   - `WITH DISTINCT p`: This passes the distinct reviewers (`p`) to the next part of the query.

3. **Limit to the first three reviewers:**
   - `RETURN p LIMIT 3`: This returns the first three reviewers.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""A solid romp""
WITH DISTINCT p
RETURN p LIMIT 3
```",Simple Retrieval Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""A solid romp""
WITH DISTINCT p
RETURN p LIMIT 3","This query first finds all the movies with the review summary ""A solid romp"". Then, it finds all the people who reviewed those movies. Finally, it returns the first three distinct reviewers.

1. **Find movies with the specific review summary:**
   - `MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)`: This matches all movies (`m`) that have a `REVIEWED` relationship (`r`) with a person (`p`).
   - `WHERE r.summary = ""A solid romp""`: This filters for movies where the review summary is ""A solid romp"".

2. **Find the reviewers:**
   - `WITH DISTINCT p`: This passes the distinct reviewers (`p`) to the next part of the query.

3. **Limit to the first three reviewers:**
   - `RETURN p LIMIT 3`: This returns the first three reviewers.",False,False,True,False
"Which movies have been reviewed with the summary ""Pretty funny at times""?",movies,"<explanation>
This query looks for all movies that have a `REVIEWED` relationship with a `summary` property equal to ""Pretty funny at times"".

1. **MATCH** the `REVIEWED` relationship connected to a `Movie` node.
2. **WHERE** the `summary` property of the `REVIEWED` relationship is ""Pretty funny at times"".
3. **RETURN** the `title` property of the `Movie` node. 

</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE r.summary = ""Pretty funny at times""
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)<-[r:REVIEWED]-()
WHERE r.summary = ""Pretty funny at times""
RETURN m.title","This query looks for all movies that have a `REVIEWED` relationship with a `summary` property equal to ""Pretty funny at times"".

1. **MATCH** the `REVIEWED` relationship connected to a `Movie` node.
2. **WHERE** the `summary` property of the `REVIEWED` relationship is ""Pretty funny at times"".
3. **RETURN** the `title` property of the `Movie` node.",False,False,True,False
Which people reviewed movies with a rating between 70 and 90?,movies,"<explanation>
This query looks for all people who reviewed a movie with a rating between 70 and 90.  
1. We match on the `REVIEWED` relationship. 
2. We filter on the `rating` property being between 70 and 90.
3. We return the names of the people.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE  r.rating >= 70 AND r.rating <=90
RETURN DISTINCT p.name 
```
</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE  r.rating >= 70 AND r.rating <=90
RETURN DISTINCT p.name 
```",Simple Retrieval Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE  r.rating >= 70 AND r.rating <=90
RETURN DISTINCT p.name","This query looks for all people who reviewed a movie with a rating between 70 and 90.  
1. We match on the `REVIEWED` relationship. 
2. We filter on the `rating` property being between 70 and 90.
3. We return the names of the people.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE  r.rating >= 70 AND r.rating <=90
RETURN DISTINCT p.name 
```",False,False,True,False
What is the average rating given by people born before 1960?,movies,"<explanation>
1. **MATCH** all Person nodes with born property less than 1960
2. **MATCH** relationships to reviewed movies
3. **WITH** average rating
4. **RETURN** the average rating

```cypher
MATCH (p:Person {born: {lt:1960}})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating
```
</explanation>
```cypher
MATCH (p:Person {born: {lt:1960}})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating
```",Simple Retrieval Queries,"MATCH (p:Person {born: {lt:1960}})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating","1. **MATCH** all Person nodes with born property less than 1960
2. **MATCH** relationships to reviewed movies
3. **WITH** average rating
4. **RETURN** the average rating

```cypher
MATCH (p:Person {born: {lt:1960}})-[r:REVIEWED]->(m:Movie)
WITH avg(r.rating) AS average_rating
RETURN average_rating
```",False,False,True,False
