question,database,output,type,cypher,explanation
"List the first 5 movies with ""the"" in their title.",movies,"<explanation>
This Cypher query initially finds all movies that contain ""the"" in their title (case-insensitive). Then, it limits the results to the first 5 using `LIMIT`.

```cypher
MATCH (m:Movie)
WHERE toLower(m.title) CONTAINS 'the'
RETURN m.title
LIMIT 5
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE toLower(m.title) CONTAINS 'the'
RETURN m.title
LIMIT 5
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE toLower(m.title) CONTAINS 'the'
RETURN m.title
LIMIT 5","This Cypher query initially finds all movies that contain ""the"" in their title (case-insensitive). Then, it limits the results to the first 5 using `LIMIT`.

```cypher
MATCH (m:Movie)
WHERE toLower(m.title) CONTAINS 'the'
RETURN m.title
LIMIT 5
```"
Who directed movies with less than 100 votes?,movies,"<explanation>
This query starts with finding all movies with less than 100 votes, then matching the directors of those movies and returning the names of the directors.

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigning them to the variable 'm'.
2. **WHERE m.votes < 100**: This line filters the movies, keeping only those where the 'votes' property is less than 100.
3. **MATCH (p:Person)-[:DIRECTED]->(m)**: This line looks for relationships of type 'DIRECTED' starting from a node with the label 'Person' and ending at the previously filtered movies ('m'). The person nodes are assigned to the variable 'p'.
4. **RETURN DISTINCT p.name**: Finally, this line returns the distinct names of the directors ('p.name') to avoid duplicates.

```cypher
MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name","This query starts with finding all movies with less than 100 votes, then matching the directors of those movies and returning the names of the directors.

1. **MATCH (m:Movie)**: This line starts by finding all nodes with the label ""Movie"" and assigning them to the variable 'm'.
2. **WHERE m.votes < 100**: This line filters the movies, keeping only those where the 'votes' property is less than 100.
3. **MATCH (p:Person)-[:DIRECTED]->(m)**: This line looks for relationships of type 'DIRECTED' starting from a node with the label 'Person' and ending at the previously filtered movies ('m'). The person nodes are assigned to the variable 'p'.
4. **RETURN DISTINCT p.name**: Finally, this line returns the distinct names of the directors ('p.name') to avoid duplicates.

```cypher
MATCH (m:Movie)
WHERE m.votes < 100
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```"
What are the release years of movies written by Nancy Meyers?,movies,"<explanation>
1. We need to find movies that are related to a person with the name 'Nancy Meyers' by the `:WROTE` relationship.
2. Then we need to return the `released` property of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released
```
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released
```",Simple Retrieval Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released","1. We need to find movies that are related to a person with the name 'Nancy Meyers' by the `:WROTE` relationship.
2. Then we need to return the `released` property of those movies.

```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.released
```"
Which people acted in movies with more than 1000 votes?,movies,"<explanation>
This query starts by matching all ACTED_IN relationships. It then filters these relationships to only include those where the movie connected to the relationship has more than 1000 votes. Finally, it returns the names of all people connected to the filtered relationships.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.votes > 1000
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.votes > 1000
RETURN DISTINCT p.name","This query starts by matching all ACTED_IN relationships. It then filters these relationships to only include those where the movie connected to the relationship has more than 1000 votes. Finally, it returns the names of all people connected to the filtered relationships."
List the first 3 people born between 1950 and 1960.,movies,"<explanation>
This query looks for `Person` nodes with the `born` property between 1950 and 1960, orders them by `born` property in ascending order and limits the result to the first 3 nodes.
</explanation>
```cypher
MATCH (p:Person)
WHERE 1950 <= p.born <= 1960
RETURN p.name
ORDER BY p.born
LIMIT 3
```",Simple Retrieval Queries,"MATCH (p:Person)
WHERE 1950 <= p.born <= 1960
RETURN p.name
ORDER BY p.born
LIMIT 3","This query looks for `Person` nodes with the `born` property between 1950 and 1960, orders them by `born` property in ascending order and limits the result to the first 3 nodes."
Who produced movies released after 2005?,movies,"<explanation>
1. **Start with the Movie nodes:** Match all movies (m:Movie).
2. **Filter by release year:** Use a WHERE clause to keep only movies released after 2005 (m.released > 2005).
3. **Traverse the PRODUCED relationship:** Match the persons (p:Person) who produced those movies (p)-[:PRODUCED]->(m).
4. **Return the names:** Return the distinct names of the persons (DISTINCT p.name).
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN DISTINCT p.name
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[:PRODUCED]->(m)
RETURN DISTINCT p.name","1. **Start with the Movie nodes:** Match all movies (m:Movie).
2. **Filter by release year:** Use a WHERE clause to keep only movies released after 2005 (m.released > 2005).
3. **Traverse the PRODUCED relationship:** Match the persons (p:Person) who produced those movies (p)-[:PRODUCED]->(m).
4. **Return the names:** Return the distinct names of the persons (DISTINCT p.name)."
"What are the titles of movies with taglines containing the word ""end""?",movies,"<explanation>
This query looks for movies with the word ""end"" in the tagline. 

1. **MATCH (m:Movie)** - We start by looking at all nodes with the label ""Movie"".
2. **WHERE m.tagline CONTAINS 'end'** - We then filter down to only movies where the tagline property contains ""end"".
3. **RETURN m.title** - Finally, for all movies matching our criteria, we return the title.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'end'
RETURN m.title","This query looks for movies with the word ""end"" in the tagline. 

1. **MATCH (m:Movie)** - We start by looking at all nodes with the label ""Movie"".
2. **WHERE m.tagline CONTAINS 'end'** - We then filter down to only movies where the tagline property contains ""end"".
3. **RETURN m.title** - Finally, for all movies matching our criteria, we return the title."
Which people acted in movies directed by people born before 1950?,movies,"<explanation>
This query identifies all people who acted in movies directed by individuals born before 1950. 

1. **MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)**: We start by matching two patterns: 
    - People who acted in movies.
    - Directors who directed those movies.
2. **WHERE director.born < 1950**: This filters for directors born before 1950.
3. **RETURN DISTINCT person.name**: Finally, we return the names of the actors, ensuring distinct results to avoid duplicates. 

</explanation>
```cypher
MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)
WHERE director.born < 1950
RETURN DISTINCT person.name
```",Simple Retrieval Queries,"MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)
WHERE director.born < 1950
RETURN DISTINCT person.name","This query identifies all people who acted in movies directed by individuals born before 1950. 

1. **MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)<-[:DIRECTED]-(director:Person)**: We start by matching two patterns: 
    - People who acted in movies.
    - Directors who directed those movies.
2. **WHERE director.born < 1950**: This filters for directors born before 1950.
3. **RETURN DISTINCT person.name**: Finally, we return the names of the actors, ensuring distinct results to avoid duplicates."
"What are the first 3 reviews' summaries for the movie ""Something's Gotta Give""?",movies,"<explanation>
This query looks for a movie with the title ""Something's Gotta Give"". Then, it retrieves the reviews associated with that movie and returns the summaries of the first three reviews. 
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})<-[r:REVIEWED]-(p:Person)
RETURN r.summary
LIMIT 3
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})<-[r:REVIEWED]-(p:Person)
RETURN r.summary
LIMIT 3","This query looks for a movie with the title ""Something's Gotta Give"". Then, it retrieves the reviews associated with that movie and returns the summaries of the first three reviews."
"What is the average rating for the movie ""The Matrix Revolutions""?",movies,"<explanation>
1. **Match the movie with the title ""The Matrix Revolutions"".** 
2. **Match the ""REVIEWED"" relationships connected to the movie.**
3. **Calculate the average rating using the `avg` function on the `rating` property of the `REVIEWED` relationship.**
4. **Return the average rating.**
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (:Person)-[r:REVIEWED]->(m)
RETURN avg(r.rating) AS average_rating
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (:Person)-[r:REVIEWED]->(m)
RETURN avg(r.rating) AS average_rating","1. **Match the movie with the title ""The Matrix Revolutions"".** 
2. **Match the ""REVIEWED"" relationships connected to the movie.**
3. **Calculate the average rating using the `avg` function on the `rating` property of the `REVIEWED` relationship.**
4. **Return the average rating.**"
"Who reviewed the movie ""Something's Gotta Give"" with a rating above 80?",movies,"<explanation>
This Cypher query identifies people who gave the movie ""Something's Gotta Give"" a rating above 80.

1. **MATCH (m:Movie {title: ""Something's Gotta Give""})<-[r:REVIEWED]-(p:Person)**: This part finds the movie with the title ""Something's Gotta Give"" and looks for any ""REVIEWED"" relationships connected to it, originating from any ""Person"" nodes.
2. **WHERE r.rating > 80**: This filters the ""REVIEWED"" relationships, keeping only those where the ""rating"" property is greater than 80.
3. **RETURN p.name**: Finally, the query returns the ""name"" property of the ""Person"" nodes who meet the criteria.

In essence, the query first locates all reviews for the specified movie and then narrows down to those with a rating greater than 80. The names of the reviewers associated with these high-rated reviews are then returned as the result.
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})<-[r:REVIEWED]-(p:Person)
WHERE r.rating > 80
RETURN p.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})<-[r:REVIEWED]-(p:Person)
WHERE r.rating > 80
RETURN p.name","This Cypher query identifies people who gave the movie ""Something's Gotta Give"" a rating above 80.

1. **MATCH (m:Movie {title: ""Something's Gotta Give""})<-[r:REVIEWED]-(p:Person)**: This part finds the movie with the title ""Something's Gotta Give"" and looks for any ""REVIEWED"" relationships connected to it, originating from any ""Person"" nodes.
2. **WHERE r.rating > 80**: This filters the ""REVIEWED"" relationships, keeping only those where the ""rating"" property is greater than 80.
3. **RETURN p.name**: Finally, the query returns the ""name"" property of the ""Person"" nodes who meet the criteria.

In essence, the query first locates all reviews for the specified movie and then narrows down to those with a rating greater than 80. The names of the reviewers associated with these high-rated reviews are then returned as the result."
